wavelength,counts
188.65,99.85
189.10,99.85
189.56,99.85
190.01,99.85
190.47,99.85
190.92,125.06
191.37,135.55
191.83,147.47
192.28,160.65
192.74,174.90
193.19,189.96
193.64,205.56
194.10,222.07
194.55,239.42
195.01,257.54
195.46,276.34
195.91,295.73
196.37,315.57
196.82,335.72
197.27,356.00
197.73,376.25
198.18,396.26
198.63,415.83
199.09,434.77
199.54,452.88
199.99,469.98
200.45,485.90
200.90,500.53
201.35,513.77
201.81,525.59
202.26,536.00
202.71,545.04
203.17,552.80
203.62,559.38
204.07,564.90
204.53,569.48
204.98,573.21
205.43,576.18
205.89,578.45
206.34,580.07
206.79,581.08
207.25,581.52
207.70,581.41
208.15,580.79
208.60,579.73
209.06,578.27
209.51,576.50
209.96,574.49
210.41,572.33
210.87,570.10
211.32,567.89
211.77,565.78
212.23,563.86
212.68,562.19
213.13,560.86
213.58,559.90
214.04,559.38
214.49,559.31
214.94,559.69
215.39,560.50
215.84,561.69
216.30,563.18
216.75,564.84
217.20,566.53
217.65,568.10
218.11,569.40
218.56,570.27
219.01,570.60
219.46,570.32
219.91,569.40
220.37,567.87
220.82,565.81
221.27,563.34
221.72,560.58
222.17,557.69
222.63,554.80
223.08,552.05
223.53,549.52
223.98,547.30
224.43,545.44
224.88,543.96
225.34,542.88
225.79,542.22
226.24,541.97
226.69,542.12
227.14,542.65
227.59,543.51
228.04,544.63
228.50,545.94
228.95,547.32
229.40,548.67
229.85,549.88
230.30,550.86
230.75,551.55
231.20,551.91
231.66,551.95
232.11,551.68
232.56,551.17
233.01,550.46
233.46,549.62
233.91,548.69
234.36,547.70
234.81,546.70
235.26,545.68
235.71,544.68
236.17,543.70
236.62,542.77
237.07,541.92
237.52,541.18
237.97,540.60
238.42,540.18
238.87,539.95
239.32,539.92
239.77,540.06
240.22,540.36
240.67,540.80
241.12,541.35
241.57,542.00
242.02,542.75
242.47,543.60
242.92,544.57
243.37,545.68
243.82,546.91
244.27,548.27
244.72,549.71
245.18,551.18
245.63,552.62
246.08,553.94
246.53,555.08
246.98,556.00
247.43,556.65
247.88,557.06
248.33,557.25
248.78,557.30
249.23,557.27
249.68,557.26
250.12,557.34
250.57,557.57
251.02,557.97
251.47,558.53
251.92,559.22
252.37,559.99
252.82,560.75
253.27,561.45
253.72,562.02
254.17,562.41
254.62,562.62
255.07,562.64
255.52,562.50
255.97,562.22
256.42,561.84
256.87,561.38
257.32,560.88
257.77,560.33
258.22,559.74
258.66,559.10
259.11,558.40
259.56,557.62
260.01,556.77
260.46,555.86
260.91,554.90
261.36,553.90
261.81,552.89
262.26,551.90
262.71,550.95
263.15,550.05
263.60,549.23
264.05,548.51
264.50,547.90
264.95,547.42
265.40,547.09
265.85,546.93
266.30,546.97
266.74,547.22
267.19,547.71
267.64,548.44
268.09,549.42
268.54,550.62
268.99,552.02
269.43,553.56
269.88,555.18
270.33,556.78
270.78,558.29
271.23,559.62
271.68,560.72
272.12,561.56
272.57,562.14
273.02,562.50
273.47,562.71
273.92,562.85
274.36,563.01
274.81,563.27
275.26,563.67
275.71,564.24
276.16,564.94
276.60,565.72
277.05,566.49
277.50,567.17
277.95,567.64
278.39,567.83
278.84,567.68
279.29,567.18
279.74,566.36
280.19,565.27
280.63,564.00
281.08,562.67
281.53,561.39
281.98,560.26
282.42,559.37
282.87,558.75
283.32,558.42
283.76,558.33
284.21,558.42
284.66,558.62
285.11,558.84
285.55,559.00
286.00,559.05
286.45,558.96
286.89,558.73
287.34,558.39
287.79,558.00
288.23,557.62
288.68,557.32
289.13,557.15
289.58,557.18
290.02,557.42
290.47,557.87
290.92,558.51
291.36,559.29
291.81,560.10
292.26,560.86
292.70,561.45
293.15,561.76
293.60,561.71
294.04,561.25
294.49,560.37
294.93,559.11
295.38,557.57
295.83,555.87
296.27,554.19
296.72,552.67
297.17,551.49
297.61,550.77
298.06,550.60
298.50,551.02
298.95,552.00
299.40,553.49
299.84,555.36
300.29,557.47
300.73,559.67
301.18,561.77
301.63,563.62
302.07,565.08
302.52,566.04
302.96,566.42
303.41,566.19
303.85,565.35
304.30,563.95
304.75,562.05
305.19,559.76
305.64,557.22
306.08,554.57
306.53,551.97
306.97,549.58
307.42,547.55
307.86,546.01
308.31,545.06
308.75,544.77
309.20,545.16
309.65,546.21
310.09,547.84
310.54,549.95
310.98,552.41
311.43,555.05
311.87,557.75
312.32,560.36
312.76,562.78
313.21,564.93
313.65,566.76
314.10,568.23
314.54,569.34
314.99,570.09
315.43,570.49
315.87,570.53
316.32,570.24
316.76,569.66
317.21,568.81
317.65,567.77
318.10,566.63
318.54,565.47
318.99,564.41
319.43,563.56
319.88,563.01
320.32,562.81
320.76,563.00
321.21,563.58
321.65,564.52
322.10,565.78
322.54,567.28
322.99,568.99
323.43,570.87
323.87,572.88
324.32,575.01
324.76,577.25
325.21,579.57
325.65,581.92
326.09,584.24
326.54,586.43
326.98,588.37
327.42,589.93
327.87,591.00
328.31,591.49
328.76,591.37
329.20,590.66
329.64,589.42
330.09,587.78
330.53,585.91
330.97,583.97
331.42,582.12
331.86,580.48
332.30,579.13
332.75,578.08
333.19,577.30
333.63,576.70
334.08,576.19
334.52,575.64
334.96,574.98
335.41,574.12
335.85,573.06
336.29,571.83
336.74,570.48
337.18,569.11
337.62,567.87
338.06,566.86
338.51,566.21
338.95,566.02
339.39,566.37
339.84,567.28
340.28,568.74
340.72,570.70
341.16,573.06
341.61,575.69
342.05,578.43
342.49,581.11
342.93,583.56
343.38,585.65
343.82,587.24
344.26,588.27
344.70,588.69
345.15,588.54
345.59,587.86
346.03,586.74
346.47,585.31
346.92,583.69
347.36,582.03
347.80,580.45
348.24,579.06
348.68,577.96
349.13,577.21
349.57,576.83
350.01,576.83
350.45,577.18
350.89,577.83
351.34,578.71
351.78,579.77
352.22,580.92
352.66,582.09
353.10,583.23
353.54,584.26
353.99,585.15
354.43,585.85
354.87,586.32
355.31,586.54
355.75,586.51
356.19,586.25
356.63,585.79
357.08,585.18
357.52,584.49
357.96,583.81
358.40,583.19
358.84,582.71
359.28,582.41
359.72,582.32
360.16,582.45
360.60,582.78
361.05,583.29
361.49,583.92
361.93,584.65
362.37,585.41
362.81,586.15
363.25,586.83
363.69,587.40
364.13,587.85
364.57,588.14
365.01,588.30
365.45,588.34
365.89,588.32
366.33,588.30
366.78,588.37
367.22,588.62
367.66,589.14
368.10,589.98
368.54,591.19
368.98,592.78
369.42,594.72
369.86,596.94
370.30,599.37
370.74,601.90
371.18,604.41
371.62,606.79
372.06,608.93
372.50,610.74
372.94,612.18
373.38,613.21
373.82,613.85
374.26,614.16
374.70,614.22
375.14,614.17
375.58,614.12
376.02,614.22
376.46,614.59
376.90,615.31
377.34,616.44
377.78,617.99
378.21,619.93
378.65,622.20
379.09,624.73
379.53,627.42
379.97,630.18
380.41,632.95
380.85,635.67
381.29,638.29
381.73,640.81
382.17,643.22
382.61,645.52
383.05,647.74
383.49,649.90
383.93,651.99
384.36,654.04
384.80,656.04
385.24,657.98
385.68,659.84
386.12,661.60
386.56,663.25
387.00,664.75
387.44,666.11
387.87,667.33
388.31,668.45
388.75,669.50
389.19,670.56
389.63,671.69
390.07,672.97
390.51,674.45
390.94,676.18
391.38,678.18
391.82,680.44
392.26,682.92
392.70,685.57
393.14,688.30
393.57,691.01
394.01,693.60
394.45,695.96
394.89,698.01
395.33,699.67
395.76,700.91
396.20,701.72
396.64,702.15
397.08,702.29
397.52,702.24
397.95,702.17
398.39,702.24
398.83,702.60
399.27,703.41
399.70,704.81
400.14,706.91
400.58,709.77
401.02,713.43
401.45,717.89
401.89,723.11
402.33,729.00
402.77,735.45
403.20,742.33
403.64,749.47
404.08,756.71
404.52,763.88
404.95,770.85
405.39,777.50
405.83,783.78
406.26,789.65
406.70,795.14
407.14,800.28
407.58,805.16
408.01,809.85
408.45,814.41
408.89,818.93
409.32,823.45
409.76,828.01
410.20,832.64
410.63,837.36
411.07,842.18
411.51,847.12
411.94,852.16
412.38,857.32
412.82,862.58
413.25,867.95
413.69,873.39
414.12,878.89
414.56,884.41
415.00,889.89
415.43,895.28
415.87,900.52
416.31,905.56
416.74,910.38
417.18,914.97
417.61,919.35
418.05,923.58
418.49,927.75
418.92,931.97
419.36,936.35
419.79,940.99
420.23,946.00
420.67,951.45
421.10,957.38
421.54,963.82
421.97,970.75
422.41,978.14
422.84,985.94
423.28,994.07
423.71,1002.45
424.15,1010.97
424.59,1019.54
425.02,1028.09
425.46,1036.57
425.89,1044.98
426.33,1053.34
426.76,1061.75
427.20,1070.29
427.63,1079.06
428.07,1088.16
428.50,1097.63
428.94,1107.46
429.37,1117.59
429.81,1127.91
430.24,1138.27
430.68,1148.54
431.11,1158.58
431.55,1168.32
431.98,1177.72
432.42,1186.82
432.85,1195.69
433.28,1204.42
433.72,1213.16
434.15,1222.00
434.59,1231.06
435.02,1240.41
435.46,1250.10
435.89,1260.14
436.33,1270.52
436.76,1281.22
437.19,1292.18
437.63,1303.33
438.06,1314.61
438.50,1325.91
438.93,1337.14
439.37,1348.20
439.80,1359.01
440.23,1369.49
440.67,1379.58
441.10,1389.24
441.53,1398.45
441.97,1407.18
442.40,1415.43
442.84,1423.23
443.27,1430.58
443.70,1437.53
444.14,1444.14
444.57,1450.48
445.00,1456.64
445.44,1462.74
445.87,1468.87
446.30,1475.13
446.74,1481.57
447.17,1488.24
447.60,1495.13
448.04,1502.19
448.47,1509.39
448.90,1516.65
449.34,1523.96
449.77,1531.29
450.20,1538.70
450.64,1546.24
451.07,1554.01
451.50,1562.14
451.93,1570.71
452.37,1579.80
452.80,1589.47
453.23,1599.71
453.67,1610.52
454.10,1621.87
454.53,1633.75
454.96,1646.16
455.40,1659.13
455.83,1672.74
456.26,1687.05
456.69,1702.15
457.13,1718.08
457.56,1734.81
