wavelength,counts
188.65,87.05
189.10,87.05
189.56,87.05
190.01,87.05
190.47,87.05
190.92,109.14
191.37,119.03
191.83,130.72
192.28,144.15
192.74,159.18
193.19,175.54
193.64,192.93
194.10,211.47
194.55,230.95
195.01,251.15
195.46,271.87
195.91,292.91
196.37,314.12
196.82,335.34
197.27,356.45
197.73,377.31
198.18,397.78
198.63,417.69
199.09,436.86
199.54,455.08
199.99,472.15
200.45,487.88
200.90,502.12
201.35,514.77
201.81,525.79
202.26,535.21
202.71,543.11
203.17,549.64
203.62,554.94
204.07,559.21
204.53,562.60
204.98,565.26
205.43,567.28
205.89,568.76
206.34,569.75
206.79,570.27
207.25,570.38
207.70,570.09
208.15,569.46
208.60,568.56
209.06,567.45
209.51,566.21
209.96,564.91
210.41,563.61
210.87,562.36
211.32,561.18
211.77,560.09
212.23,559.06
212.68,558.09
213.13,557.16
213.58,556.26
214.04,555.37
214.49,554.49
214.94,553.62
215.39,552.78
215.84,551.99
216.30,551.27
216.75,550.65
217.20,550.18
217.65,549.89
218.11,549.83
218.56,550.06
219.01,550.60
219.46,551.49
219.91,552.72
220.37,554.26
220.82,556.04
221.27,557.97
221.72,559.91
222.17,561.71
222.63,563.24
223.08,564.38
223.53,565.05
223.98,565.24
224.43,565.00
224.88,564.41
225.34,563.64
225.79,562.85
226.24,562.20
226.69,561.83
227.14,561.82
227.59,562.20
228.04,562.92
228.50,563.88
228.95,564.96
229.40,566.00
229.85,566.87
230.30,567.45
230.75,567.68
231.20,567.53
231.66,567.02
232.11,566.19
232.56,565.12
233.01,563.87
233.46,562.50
233.91,561.06
234.36,559.58
234.81,558.08
235.26,556.55
235.71,555.02
236.17,553.50
236.62,552.02
237.07,550.62
237.52,549.37
237.97,548.34
238.42,547.58
238.87,547.17
239.32,547.13
239.77,547.48
240.22,548.23
240.67,549.32
241.12,550.69
241.57,552.25
242.02,553.90
242.47,555.53
242.92,557.06
243.37,558.40
243.82,559.50
244.27,560.36
244.72,560.99
245.18,561.44
245.63,561.79
246.08,562.10
246.53,562.49
246.98,563.02
247.43,563.76
247.88,564.74
248.33,565.94
248.78,567.33
249.23,568.82
249.68,570.30
250.12,571.64
250.57,572.70
251.02,573.36
251.47,573.52
251.92,573.12
252.37,572.15
252.82,570.64
253.27,568.67
253.72,566.33
254.17,563.75
254.62,561.03
255.07,558.31
255.52,555.66
255.97,553.18
256.42,550.92
256.87,548.93
257.32,547.22
257.77,545.82
258.22,544.73
258.66,543.94
259.11,543.46
259.56,543.27
260.01,543.38
260.46,543.78
260.91,544.46
261.36,545.39
261.81,546.56
262.26,547.93
262.71,549.44
263.15,551.03
263.60,552.63
264.05,554.15
264.50,555.54
264.95,556.74
265.40,557.74
265.85,558.53
266.30,559.14
266.74,559.61
267.19,559.99
267.64,560.32
268.09,560.63
268.54,560.93
268.99,561.22
269.43,561.49
269.88,561.72
270.33,561.92
270.78,562.12
271.23,562.35
271.68,562.67
272.12,563.14
272.57,563.81
273.02,564.69
273.47,565.77
273.92,566.98
274.36,568.24
274.81,569.41
275.26,570.37
275.71,571.01
276.16,571.23
276.60,570.98
277.05,570.27
277.50,569.15
277.95,567.72
278.39,566.10
278.84,564.42
279.29,562.83
279.74,561.43
280.19,560.32
280.63,559.53
281.08,559.09
281.53,558.96
281.98,559.10
282.42,559.46
282.87,559.97
283.32,560.57
283.76,561.24
284.21,561.96
284.66,562.70
285.11,563.48
285.55,564.29
286.00,565.15
286.45,566.05
286.89,566.96
287.34,567.89
287.79,568.80
288.23,569.69
288.68,570.57
289.13,571.45
