wavelength,counts
188.65,2.56
189.10,2.56
189.56,2.56
190.01,2.56
190.47,2.56
190.92,45.96
191.37,63.17
191.83,82.04
192.28,102.09
192.74,122.73
193.19,143.36
193.64,163.37
194.10,183.41
194.55,203.39
195.01,223.30
195.46,243.19
195.91,263.09
196.37,283.07
196.82,303.14
197.27,323.29
197.73,343.48
198.18,363.59
198.63,383.50
199.09,403.02
199.54,421.95
199.99,440.09
200.45,457.24
200.90,473.22
201.35,487.89
201.81,501.15
202.26,512.96
202.71,523.29
203.17,532.17
203.62,539.66
204.07,545.83
204.53,550.77
204.98,554.59
205.43,557.40
205.89,559.32
206.34,560.48
206.79,560.99
207.25,560.97
207.70,560.54
208.15,559.78
208.60,558.75
209.06,557.50
209.51,556.05
209.96,554.40
210.41,552.54
210.87,550.45
211.32,548.12
211.77,545.57
212.23,542.85
212.68,540.01
213.13,537.14
213.58,534.37
214.04,531.80
214.49,529.55
214.94,527.72
215.39,526.37
215.84,525.52
216.30,525.18
216.75,525.29
217.20,525.78
217.65,526.55
218.11,527.50
218.56,528.51
219.01,529.48
219.46,530.34
219.91,531.02
220.37,531.50
220.82,531.79
221.27,531.91
221.72,531.94
222.17,531.94
222.63,532.01
223.08,532.23
223.53,532.67
223.98,533.37
224.43,534.38
224.88,535.68
225.34,537.24
225.79,539.01
226.24,540.92
226.69,542.88
227.14,544.78
227.59,546.53
228.04,548.02
228.50,549.17
228.95,549.91
229.40,550.22
229.85,550.09
230.30,549.56
230.75,548.72
231.20,547.66
231.66,546.50
232.11,545.37
232.56,544.36
233.01,543.54
233.46,542.97
233.91,542.65
234.36,542.58
234.81,542.72
235.26,543.05
235.71,543.55
236.17,544.21
236.62,545.01
237.07,545.98
237.52,547.08
237.97,548.30
238.42,549.57
238.87,550.83
239.32,551.96
239.77,552.87
240.22,553.48
240.67,553.73
241.12,553.62
241.57,553.20
242.02,552.59
242.47,551.93
242.92,551.38
243.37,551.11
243.82,551.25
244.27,551.91
244.72,553.10
245.18,554.81
245.63,556.96
246.08,559.40
246.53,561.97
246.98,564.49
247.43,566.77
247.88,568.63
248.33,569.96
248.78,570.63
249.23,570.61
249.68,569.91
250.12,568.58
250.57,566.73
251.02,564.50
251.47,562.04
251.92,559.52
252.37,557.09
252.82,554.87
253.27,552.97
253.72,551.46
254.17,550.34
254.62,549.64
255.07,549.32
255.52,549.35
255.97,549.66
256.42,550.19
256.87,550.87
257.32,551.60
257.77,552.30
258.22,552.89
258.66,553.28
259.11,553.42
259.56,553.27
260.01,552.81
260.46,552.09
260.91,551.16
