wavelength,counts
188.65,233.96
189.10,233.96
189.56,233.96
190.01,233.96
190.47,233.96
190.92,266.73
191.37,280.33
191.83,295.72
192.28,312.64
192.74,330.74
193.19,349.63
193.64,368.84
194.10,388.74
194.55,409.12
195.01,429.79
195.46,450.56
195.91,471.23
196.37,491.62
196.82,511.56
197.27,530.87
197.73,549.42
198.18,567.11
198.63,583.83
199.09,599.51
199.54,614.11
199.99,627.59
200.45,639.92
200.90,651.11
201.35,661.16
201.81,670.10
202.26,677.97
202.71,684.83
203.17,690.75
203.62,695.80
204.07,700.05
204.53,703.57
204.98,706.43
205.43,708.67
205.89,710.33
206.34,711.46
206.79,712.08
207.25,712.22
207.70,711.92
208.15,711.21
208.60,710.13
209.06,708.73
209.51,707.06
209.96,705.17
210.41,703.12
210.87,700.98
211.32,698.81
211.77,696.66
212.23,694.62
212.68,692.73
213.13,691.04
213.58,689.59
214.04,688.40
214.49,687.45
214.94,686.74
215.39,686.23
215.84,685.87
216.30,685.62
216.75,685.45
217.20,685.32
217.65,685.23
218.11,685.16
218.56,685.14
219.01,685.19
219.46,685.31
219.91,685.54
220.37,685.86
220.82,686.28
221.27,686.76
221.72,687.28
222.17,687.80
222.63,688.26
223.08,688.64
223.53,688.89
223.98,689.01
224.43,688.97
224.88,688.79
225.34,688.48
225.79,688.08
226.24,687.62
226.69,687.13
227.14,686.67
227.59,686.26
228.04,685.95
228.50,685.76
228.95,685.71
229.40,685.82
229.85,686.08
230.30,686.49
230.75,687.02
231.20,687.66
231.66,688.36
232.11,689.10
232.56,689.83
233.01,690.53
233.46,691.16
233.91,691.70
234.36,692.15
234.81,692.49
235.26,692.74
235.71,692.92
236.17,693.05
236.62,693.15
237.07,693.23
237.52,693.32
237.97,693.41
238.42,693.51
238.87,693.60
239.32,693.66
239.77,693.69
240.22,693.66
240.67,693.56
241.12,693.41
241.57,693.20
242.02,692.96
242.47,692.71
242.92,692.49
243.37,692.32
243.82,692.22
244.27,692.21
244.72,692.29
245.18,692.48
245.63,692.76
246.08,693.12
246.53,693.53
246.98,693.98
247.43,694.45
247.88,694.89
248.33,695.31
248.78,695.69
249.23,696.02
249.68,696.31
250.12,696.58
250.57,696.85
251.02,697.14
251.47,697.48
251.92,697.87
252.37,698.30
252.82,698.78
253.27,699.27
253.72,699.73
254.17,700.14
254.62,700.46
255.07,700.65
255.52,700.72
255.97,700.65
256.42,700.46
256.87,700.19
257.32,699.87
257.77,699.54
258.22,699.23
258.66,698.99
259.11,698.85
259.56,698.83
260.01,698.93
260.46,699.17
260.91,699.53
261.36,700.02
261.81,700.61
262.26,701.27
262.71,701.98
263.15,702.70
263.60,703.41
264.05,704.06
264.50,704.64
264.95,705.12
265.40,705.49
265.85,705.75
266.30,705.91
266.74,705.99
267.19,706.00
267.64,705.99
268.09,705.96
268.54,705.93
268.99,705.93
269.43,705.94
269.88,705.97
270.33,705.99
270.78,705.99
271.23,705.94
271.68,705.82
272.12,705.63
272.57,705.34
273.02,704.98
273.47,704.55
273.92,704.07
274.36,703.58
274.81,703.12
275.26,702.71
275.71,702.38
276.16,702.14
276.60,701.98
277.05,701.91
277.50,701.88
277.95,701.86
278.39,701.83
278.84,701.76
279.29,701.64
279.74,701.46
280.19,701.25
280.63,701.02
281.08,700.81
281.53,700.64
281.98,700.54
282.42,700.53
282.87,700.60
283.32,700.74
283.76,700.92
284.21,701.14
284.66,701.35
285.11,701.55
285.55,701.73
286.00,701.88
286.45,702.02
286.89,702.16
287.34,702.34
287.79,702.57
288.23,702.87
288.68,703.26
289.13,703.73
289.58,704.27
290.02,704.85
290.47,705.44
290.92,705.99
291.36,706.48
291.81,706.86
292.26,707.13
292.70,707.28
293.15,707.34
293.60,707.33
294.04,707.29
294.49,707.27
294.93,707.30
295.38,707.41
295.83,707.62
296.27,707.93
296.72,708.32
297.17,708.77
297.61,709.24
298.06,709.69
298.50,710.09
298.95,710.41
299.40,710.62
299.84,710.71
300.29,710.67
300.73,710.51
301.18,710.23
301.63,709.85
302.07,709.40
302.52,708.92
302.96,708.43
303.41,707.97
303.85,707.58
304.30,707.28
304.75,707.10
305.19,707.04
305.64,707.12
306.08,707.31
306.53,707.61
306.97,708.00
307.42,708.44
307.86,708.91
308.31,709.40
308.75,709.86
309.20,710.31
309.65,710.71
310.09,711.06
310.54,711.36
310.98,711.61
311.43,711.79
311.87,711.92
312.32,712.00
312.76,712.03
313.21,712.03
313.65,712.02
314.10,712.00
314.54,712.02
314.99,712.07
315.43,712.20
315.87,712.40
316.32,712.69
316.76,713.07
317.21,713.54
317.65,714.11
318.10,714.75
318.54,715.47
318.99,716.24
319.43,717.06
319.88,717.91
320.32,718.76
320.76,719.58
321.21,720.36
321.65,721.07
322.10,721.69
322.54,722.19
322.99,722.57
323.43,722.82
323.87,722.95
324.32,722.98
324.76,722.93
325.21,722.83
325.65,722.72
326.09,722.63
326.54,722.61
326.98,722.68
327.42,722.89
327.87,723.24
328.31,723.76
328.76,724.46
329.20,725.33
329.64,726.35
330.09,727.51
330.53,728.79
330.97,730.14
331.42,731.55
331.86,732.99
332.30,734.45
332.75,735.91
333.19,737.37
333.63,738.82
334.08,740.26
334.52,741.70
334.96,743.14
335.41,744.57
335.85,745.99
336.29,747.39
336.74,748.79
337.18,750.19
337.62,751.59
338.06,753.01
338.51,754.48
338.95,756.00
339.39,757.60
339.84,759.28
340.28,761.05
340.72,762.89
341.16,764.77
341.61,766.67
342.05,768.55
342.49,770.38
342.93,772.12
343.38,773.75
343.82,775.26
344.26,776.64
344.70,777.90
345.15,779.07
345.59,780.16
346.03,781.20
346.47,782.21
346.92,783.23
347.36,784.26
347.80,785.33
348.24,786.43
348.68,787.57
349.13,788.71
349.57,789.84
350.01,790.94
350.45,791.97
350.89,792.92
351.34,793.75
351.78,794.45
352.22,795.03
352.66,795.49
353.10,795.85
353.54,796.14
353.99,796.39
354.43,796.62
354.87,796.85
355.31,797.11
355.75,797.40
356.19,797.72
356.63,798.07
357.08,798.44
357.52,798.83
357.96,799.23
358.40,799.64
358.84,800.05
359.28,800.46
359.72,800.89
360.16,801.34
360.60,801.80
361.05,802.28
361.49,802.77
361.93,803.25
362.37,803.72
362.81,804.15
363.25,804.51
363.69,804.78
364.13,804.93
364.57,804.96
365.01,804.85
365.45,804.60
365.89,804.23
366.33,803.76
366.78,803.20
367.22,802.59
367.66,801.95
368.10,801.29
368.54,800.62
368.98,799.97
369.42,799.31
369.86,798.66
370.30,797.98
370.74,797.28
371.18,796.53
371.62,795.74
372.06,794.90
372.50,794.01
372.94,793.08
373.38,792.13
373.82,791.16
374.26,790.21
374.70,789.30
375.14,788.43
375.58,787.62
376.02,786.89
376.46,786.24
376.90,785.66
377.34,785.14
377.78,784.66
378.21,784.21
378.65,783.74
379.09,783.23
379.53,782.65
379.97,781.95
380.41,781.12
380.85,780.13
381.29,778.98
381.73,777.66
382.17,776.19
382.61,774.60
383.05,772.92
383.49,771.20
383.93,769.49
384.36,767.84
384.80,766.30
385.24,764.91
385.68,763.70
386.12,762.69
386.56,761.87
387.00,761.24
387.44,760.76
387.87,760.39
388.31,760.09
388.75,759.79
389.19,759.46
389.63,759.04
390.07,758.51
390.51,757.85
390.94,757.05
391.38,756.12
391.82,755.10
392.26,754.01
392.70,752.92
393.14,751.86
393.57,750.91
394.01,750.10
394.45,749.47
394.89,749.05
395.33,748.84
395.76,748.81
396.20,748.94
396.64,749.18
397.08,749.46
397.52,749.72
397.95,749.91
