wavelength,counts
188.65,252.53
189.10,252.53
189.56,252.53
190.01,252.53
190.47,252.53
190.92,280.31
191.37,292.16
191.83,305.77
192.28,320.97
192.74,337.48
193.19,354.95
193.64,372.98
194.10,391.78
194.55,411.15
195.01,430.87
195.46,450.71
195.91,470.48
196.37,490.00
196.82,509.10
197.27,527.62
197.73,545.46
198.18,562.52
198.63,578.71
199.09,594.00
199.54,608.34
199.99,621.70
200.45,634.07
200.90,645.45
201.35,655.84
201.81,665.23
202.26,673.63
202.71,681.06
203.17,687.51
203.62,693.02
204.07,697.60
204.53,701.32
204.98,704.22
205.43,706.37
205.89,707.85
206.34,708.75
206.79,709.16
207.25,709.16
207.70,708.82
208.15,708.22
208.60,707.40
209.06,706.39
209.51,705.24
209.96,703.94
210.41,702.54
210.87,701.03
211.32,699.45
211.77,697.83
212.23,696.21
212.68,694.61
213.13,693.07
213.58,691.64
214.04,690.32
214.49,689.13
214.94,688.07
215.39,687.12
215.84,686.27
216.30,685.49
216.75,684.77
217.20,684.09
217.65,683.46
218.11,682.86
218.56,682.33
219.01,681.87
219.46,681.52
219.91,681.30
220.37,681.23
220.82,681.30
221.27,681.52
221.72,681.88
222.17,682.34
222.63,682.88
223.08,683.46
223.53,684.04
223.98,684.59
224.43,685.10
224.88,685.55
225.34,685.94
225.79,686.27
226.24,686.55
226.69,686.80
227.14,687.02
227.59,687.23
228.04,687.43
228.50,687.62
228.95,687.79
229.40,687.95
229.85,688.10
230.30,688.23
230.75,688.37
231.20,688.52
231.66,688.70
232.11,688.93
232.56,689.21
233.01,689.56
233.46,689.97
233.91,690.46
234.36,691.00
234.81,691.59
235.26,692.20
235.71,692.83
236.17,693.43
236.62,693.99
237.07,694.48
237.52,694.88
237.97,695.17
238.42,695.33
238.87,695.34
239.32,695.21
239.77,694.95
240.22,694.56
240.67,694.08
241.12,693.54
241.57,692.97
242.02,692.42
242.47,691.92
242.92,691.48
243.37,691.14
243.82,690.89
244.27,690.74
244.72,690.67
245.18,690.68
245.63,690.74
246.08,690.86
246.53,691.03
246.98,691.25
247.43,691.55
247.88,691.92
248.33,692.39
248.78,692.96
249.23,693.62
249.68,694.35
250.12,695.12
250.57,695.90
251.02,696.63
251.47,697.26
251.92,697.77
252.37,698.10
252.82,698.25
253.27,698.22
253.72,698.02
254.17,697.67
254.62,697.23
255.07,696.73
255.52,696.22
255.97,695.74
256.42,695.33
256.87,695.01
257.32,694.81
257.77,694.74
258.22,694.81
258.66,695.01
259.11,695.33
259.56,695.74
260.01,696.22
260.46,696.74
260.91,697.25
261.36,697.73
261.81,698.16
